Item Name,Design Name,Code,New Arrivals,Best Sellers,Promo Items,Rate,Status,Usage unit,Unit,Size,Sub Collection,Collection,Thickness
DMS 2390XM - EDL HPL 4'x8' | ROYAL CARRARA-MATT,DMS 2390XM,ROYAL CARRARA-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DMS 2396XM - EDL HPL 4'x8' | NERO MORAINE-MATT,DMS 2396XM,NERO MORAINE-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DMS 2557XM - EDL HPL 4'x8' | LAVANT-MATT,DMS 2557XM,LAVANT-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DMS 2558XM - EDL HPL 4'x8' | DARK LAVANT-MATT,DMS 2558XM,DARK LAVANT-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DMS 2576XM - EDL HPL 4'x8' | BIANCO VENATINO-MATT,DMS 2576XM,BIANCO VENATINO-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DMS 2584XM - EDL HPL 4'x8' | PIERZ-MATT,DMS 2584XM,PIERZ-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DMS 2586XM - EDL HPL 4'x8' | CABANA-MATT,DMS 2586XM,CABANA-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DMS 2587XM - EDL HPL 4'x8' | DARK MUSE-MATT,DMS 2587XM,DARK MUSE-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DMS 2588XM - EDL HPL 4'x8' | NOA MARBLE-MATT,DMS 2588XM,NOA MARBLE-MATT,FALSE,FALSE,FALSE,750000,Active,sht,Sheet,1220 x 2440 mm,Marble Matt,Marble,0.8mm
DPC 2121G - EDL HPL 4'x8' | BIANCO-G,DPC 2121G,BIANCO-G,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio Gloss,Marble,0.8mm
DPC 2122G - EDL HPL 4'x8' | TERA MARBLE-G,DPC 2122G,TERA MARBLE-G,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio Gloss,Marble,0.8mm
DPC 3131VC - EDL HPL 4'x8' | BIANCO-V,DPC 3131VC,BIANCO-V,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio Matt,Marble,0.8mm
DPC 3132VC - EDL HPL 4'x8' | TERA MARBLE-V,DPC 3132VC,TERA MARBLE-V,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio Matt,Marble,0.8mm
DPC 4613VC - EDL HPL 4'x8' | AJAX DAWN-V,DPC 4613VC,AJAX DAWN-V,FALSE,FALSE,FALSE,2300000,Active,sht,Sheet,1220 x 2440 mm,Melavaio Matt,Marble,0.8mm
DS 3364LUN - EDL HPL 1300x3050 | LUSERNA GRIGIO,DS 3364LUN,LUSERNA GRIGIO,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DS 3366LUN - EDL HPL 1300x3050 | LUSERNA NERO,DS 3366LUN,LUSERNA NERO,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DS 3411LUN - EDL HPL 1300x3050 | VOYAGE COPPER,DS 3411LUN,VOYAGE COPPER,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DS 3412LUN - EDL HPL 1300x3050 | VOYAGE BRONZE,DS 3412LUN,VOYAGE BRONZE,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DS 3413LUN - EDL HPL 1300x3050 | VOYAGE SILVER,DS 3413LUN,VOYAGE SILVER,FALSE,FALSE,FALSE,1100000,Active,sht,Sheet,1300 x 3050 mm,Stone,Stone,0.8mm
DSD 2204SMA - EDL HPL 1320x3050 | NATURAL CONCRETE,DSD 2204SMA,NATURAL CONCRETE,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Marble,Marble,0.8mm
DSD 2272SMA - EDL HPL 1320x3050 | YIN MARBLE,DSD 2272SMA,YIN MARBLE,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Marble,Marble,0.8mm
DSD 2273SMA - EDL HPL 1320x3050 | YANG MARBLE,DSD 2273SMA,YANG MARBLE,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Marble,Marble,0.8mm
DSD 6260SMA - EDL HPL 1320x3050 | BAGNARA,DSD 6260SMA,BAGNARA,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Marble,Marble,0.8mm
DSD 6261SMA - EDL HPL 1320x3050 | CARNICO,DSD 6261SMA,CARNICO,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Marble,Marble,0.8mm
DSD 8509SMA - EDL HPL 1320x3050 | MARBLE BIANCO,DSD 8509SMA,MARBLE BIANCO,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Marble,Marble,0.8mm
DSK 5450SM - EDL HPL 4'x8' | DARK ASH,DSK 5450SM,DARK ASH,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 5700SM - EDL HPL 4'x8' | PORCELAIN,DSK 5700SM,PORCELAIN,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 5770SM - EDL HPL 4'x8' | OAT,DSK 5770SM,OAT,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7030SM - EDL HPL 4'x8' | GRANITE GREY,DSK 7030SM,GRANITE GREY,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7040SM - EDL HPL 4'x8' | DOUBLE CREAM,DSK 7040SM,DOUBLE CREAM,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7250SM - EDL HPL 4'x8' | COTTON FLUFF,DSK 7250SM,COTTON FLUFF,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7500SM - EDL HPL 4'x8' | LIME FIZZ,DSK 7500SM,LIME FIZZ,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7771SM - EDL HPL 4'x8' | BLEEN,DSK 7771SM,BLEEN,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7772SM - EDL HPL 4'x8' | CADET,DSK 7772SM,CADET,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7773SM - EDL HPL 4'x8' | ELEMENT,DSK 7773SM,ELEMENT,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7774SM - EDL HPL 4'x8' | ALPS,DSK 7774SM,ALPS,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7775SM - EDL HPL 4'x8' | MISTY,DSK 7775SM,MISTY,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSK 7776SM - EDL HPL 4'x8' | FOCUS GREY,DSK 7776SM,FOCUS GREY,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DSL 2250STU - EDL HPL 1320x3050 | MOONSCAPE GREY,DSL 2250STU,MOONSCAPE GREY,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2251STU - EDL HPL 1320x3050 | MOONSCAPE WHITE,DSL 2251STU,MOONSCAPE WHITE,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2280STU - EDL HPL 1320x3050 | URBANSTONE CHALK,DSL 2280STU,URBANSTONE CHALK,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2281STU - EDL HPL 1320x3050 | URBANSTONE CLAY,DSL 2281STU,URBANSTONE CLAY,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2301STU - EDL HPL 1320x3050 | ARTWALL ANTHRACITE,DSL 2301STU,ARTWALL ANTHRACITE,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2302STU - EDL HPL 1320x3050 | ARTWALL,DSL 2302STU,ARTWALL,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2303STU - EDL HPL 1320x3050 | ORGANIC STONE,DSL 2303STU,ORGANIC STONE,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2304STU - EDL HPL 1320x3050 | ARTWALL GREY,DSL 2304STU,ARTWALL GREY,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2309STU - EDL HPL 1320x3050 | VENETO CRYSTAL,DSL 2309STU,VENETO CRYSTAL,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DSL 2321STU - EDL HPL 1320x3050 | QUARTZITE,DSL 2321STU,QUARTZITE,TRUE,FALSE,FALSE,1100000,Active,sht,Sheet,1320 x 3050 mm,Stone,Stone,0.8mm
DST 5080SM - EDL HPL 4'x8' | ORANGE PEEL,DST 5080SM,ORANGE PEEL,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
DST 5130SM - EDL HPL 4'x8' | FLORIDA PINK,DST 5130SM,FLORIDA PINK,FALSE,FALSE,FALSE,650000,Active,sht,Sheet,1220 x 2440 mm,Fine Matt,Solid,0.7mm
